primary_booth,投稿数,いいね総数,いいね平均,いいね中央値,リプライ総数,リプライ平均,再投稿総数,再投稿平均,リーチ総数,リーチ平均,リーチ中央値,エンゲージメント率
litgs2025,225,17508.0,389.07,2.0,131.0,10.08,1455.0,97.0,1614429,7175.24,451.0,84.86
ktgs2025,161,16.0,3.2,2.0,2.0,1.0,0.0,,100623,624.99,294.0,0.11
カプコンtgs2025,124,300.0,10.0,1.0,13.0,1.3,14.0,7.0,127728,1030.06,191.0,2.64
デナアビ,110,21.0,3.5,2.5,2.0,1.0,5.0,1.25,26874,244.31,45.0,0.25
メカブレ千葉決戦,77,31.0,10.33,7.0,0.0,,2.0,2.0,2188467,28421.65,55751.0,0.43
七つの大罪,70,52.0,7.43,3.0,8.0,2.0,5.0,1.67,130860,1869.43,441.0,0.93
カレイドガチャ,58,2163.0,127.24,6.0,1.0,1.0,105.0,17.5,28973,499.53,281.0,39.12
アークナイツエンドフィールド,35,514.0,27.05,10.0,0.0,,27.0,3.0,16290,465.43,132.0,15.46
konami,34,540.0,25.71,2.0,35.0,4.38,90.0,22.5,34153,1004.5,316.5,19.56
デルタフォースtgs,31,208.0,52.0,41.5,2.0,1.0,13.0,6.5,176198,5683.81,179.0,7.19
ガレリアベースtgs2025,27,22.0,7.33,9.0,0.0,,3.0,1.5,10025,371.3,148.0,0.93
nteリライフ,26,690.0,49.29,3.0,9.0,1.5,47.0,7.83,279080,10733.85,722.0,28.69
tokyogameshow2025,25,152.0,8.94,6.0,5.0,1.0,12.0,1.33,30123,1204.92,1290.0,6.76
rtxon,24,2.0,2.0,2.0,0.0,,0.0,,23499,979.12,306.5,0.08
運命のトリガー,22,305.0,23.46,2.0,7.0,1.4,21.0,5.25,351245,15965.68,349.0,15.14
ホワサバ,22,1834.0,203.78,5.0,18.0,9.0,74.0,24.67,78907,3586.68,192.0,87.55
桃源暗鬼,18,2477.0,206.42,27.0,8.0,1.33,219.0,43.8,610353,33908.5,199.0,150.22
恋と深空tgs,17,105.0,8.08,3.0,4.0,1.0,0.0,,2313,136.06,34.0,6.41
mechabreak,17,71.0,10.14,2.0,3.0,1.5,0.0,,32839,1931.71,148.0,4.35
第五人格,16,52.0,5.78,2.0,2.0,1.0,8.0,2.67,8333,520.81,722.0,3.88
トリッカル,16,0.0,,,0.0,,0.0,,179378,11211.12,2142.0,0.0
escapefromtarkov,16,88.0,8.8,2.0,8.0,1.0,18.0,6.0,12407,775.44,224.0,7.12
ai,15,5.0,2.5,2.5,0.0,,0.0,,195428,13028.53,925.0,0.33
gtune,15,51.0,10.2,1.0,7.0,2.33,6.0,6.0,9376,625.07,366.0,4.27
ゲーミングpc,15,1.0,1.0,1.0,0.0,,0.0,,12830,855.33,139.0,0.07
逆水寒tgs,14,36.0,3.6,2.0,2.0,1.0,0.0,,2440,174.29,35.0,2.71
ff14,14,1905.0,211.67,2.0,7.0,2.33,248.0,62.0,21961,1568.64,329.5,154.29
メタ転,13,536.0,67.0,20.0,2.0,1.0,48.0,8.0,20279,1559.92,520.0,45.08
segaatlustgs2025,13,77.0,12.83,3.5,3.0,1.0,5.0,1.67,44227,3402.08,366.0,6.54
スタレゾtgs,13,6.0,3.0,3.0,1.0,1.0,0.0,,8361,643.15,213.0,0.54
codevein2,12,41.0,10.25,7.0,0.0,,3.0,1.5,2469,205.75,57.0,3.67
p5xjp,12,132.0,26.4,7.0,2.0,1.0,15.0,7.5,172278,14356.5,148.5,12.42
スクエニtgs,12,10.0,5.0,5.0,5.0,1.0,0.0,,11777,981.42,555.0,1.25
nikketgs2025,11,440.0,62.86,53.0,7.0,1.4,40.0,8.0,203539,18503.55,635.0,44.27
懸賞,11,0.0,,,0.0,,0.0,,94185,8562.27,13102.0,0.0
龍が如くtgs2025,11,110.0,12.22,2.0,3.0,1.0,3.0,1.5,17248,1568.0,888.0,10.55
ブラウンダスト2,11,164.0,41.0,16.0,4.0,2.0,13.0,4.33,345982,31452.91,205.0,16.45
抽選,10,0.0,,,0.0,,0.0,,27173,2717.3,601.5,0.0
